Metric,AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
NORMANTON2001,NORMANTON,2001,-,1213,1141,2354,0,0,0,1213,1141,2354
NORMANTON2002,NORMANTON,2002,-,1047,1083,2130,0,0,0,1047,1083,2130
NORMANTON2003,NORMANTON,2003,-,1418,1429,2847,0,0,0,1418,1429,2847
NORMANTON2004,NORMANTON,2004,-,1659,1651,3310,0,0,0,1659,1651,3310
NORMANTON2005,NORMANTON,2005,-,1636,1583,3219,0,0,0,1636,1583,3219
NORMANTON2006,NORMANTON,2006,-,2014,2074,4088,0,0,0,2014,2074,4088
NORMANTON2007,NORMANTON,2007,-,2755,2818,5573,0,0,0,2755,2818,5573
NORMANTON2008,NORMANTON,2008,-,2985,3207,6192,0,0,0,2985,3207,6192
NORMANTON2009,NORMANTON,2009,-,612,612,1224,0,0,0,612,612,1224
NORMANTON2010,NORMANTON,2010,-,1725,1717,3442,0,0,0,1725,1717,3442
NORMANTON2011,NORMANTON,2011,-,3305,3431,6736,0,0,0,3305,3431,6736
NORMANTON2012,NORMANTON,2012,-,3616,3779,7395,0,0,0,3616,3779,7395
NORMANTON2013,NORMANTON,2013,-,3430,3479,6909,0,0,0,3430,3479,6909
NORMANTON2014,NORMANTON,2014,-,3234,3209,6443,0,0,0,3234,3209,6443
NORMANTON2015,NORMANTON,2015,-,2865,2950,5815,0,0,0,2865,2950,5815
NORMANTON2016,NORMANTON,2016,-,4464,4499,8963,0,0,0,4464,4499,8963
OLYMPIC DAM1985,OLYMPIC DAM,1985,-,1697,1701,3398,0,0,0,1697,1701,3398
OLYMPIC DAM1986,OLYMPIC DAM,1986,-,2840,2933,5773,0,0,0,2840,2933,5773
OLYMPIC DAM1987,OLYMPIC DAM,1987,-,8928,8796,17724,0,0,0,8928,8796,17724
OLYMPIC DAM1988,OLYMPIC DAM,1988,-,8958,8911,17869,0,0,0,8958,8911,17869
OLYMPIC DAM1989,OLYMPIC DAM,1989,-,4324,4690,9014,0,0,0,4324,4690,9014
OLYMPIC DAM1990,OLYMPIC DAM,1990,-,2896,3038,5934,0,0,0,2896,3038,5934
OLYMPIC DAM1991,OLYMPIC DAM,1991,-,2798,2941,5739,0,0,0,2798,2941,5739
OLYMPIC DAM1992,OLYMPIC DAM,1992,-,2896,2989,5885,0,0,0,2896,2989,5885
OLYMPIC DAM1993,OLYMPIC DAM,1993,-,3517,3797,7314,0,0,0,3517,3797,7314
OLYMPIC DAM1994,OLYMPIC DAM,1994,-,5215,5423,10638,0,0,0,5215,5423,10638
OLYMPIC DAM1995,OLYMPIC DAM,1995,-,6117,6311,12428,0,0,0,6117,6311,12428
OLYMPIC DAM1996,OLYMPIC DAM,1996,-,6712,6852,13564,0,0,0,6712,6852,13564
OLYMPIC DAM1997,OLYMPIC DAM,1997,-,15948,15374,31322,0,0,0,15948,15374,31322
OLYMPIC DAM1998,OLYMPIC DAM,1998,-,17043,16879,33922,0,0,0,17043,16879,33922
OLYMPIC DAM1999,OLYMPIC DAM,1999,-,12875,12859,25734,0,0,0,12875,12859,25734
OLYMPIC DAM2000,OLYMPIC DAM,2000,-,11046,11039,22085,0,0,0,11046,11039,22085
OLYMPIC DAM2001,OLYMPIC DAM,2001,-,10125,10119,20244,0,0,0,10125,10119,20244
OLYMPIC DAM2002,OLYMPIC DAM,2002,-,10915,10773,21688,0,0,0,10915,10773,21688
OLYMPIC DAM2003,OLYMPIC DAM,2003,-,13868,13957,27825,0,0,0,13868,13957,27825
OLYMPIC DAM2004,OLYMPIC DAM,2004,-,12117,12229,24346,0,0,0,12117,12229,24346
OLYMPIC DAM2005,OLYMPIC DAM,2005,-,15504,15588,31092,0,0,0,15504,15588,31092
OLYMPIC DAM2006,OLYMPIC DAM,2006,-,23586,23687,47273,0,0,0,23586,23687,47273
OLYMPIC DAM2007,OLYMPIC DAM,2007,53,31561,31808,63369,0,0,0,31561,31808,63369
OLYMPIC DAM2008,OLYMPIC DAM,2008,47,42438,42053,84491,0,0,0,42438,42053,84491
OLYMPIC DAM2009,OLYMPIC DAM,2009,50,32987,30885,63872,0,0,0,32987,30885,63872
OLYMPIC DAM2010,OLYMPIC DAM,2010,52,31947,31468,63415,0,0,0,31947,31468,63415
OLYMPIC DAM2011,OLYMPIC DAM,2011,48,39582,41150,80732,0,0,0,39582,41150,80732
OLYMPIC DAM2012,OLYMPIC DAM,2012,48,47132,45924,93056,0,0,0,47132,45924,93056
OLYMPIC DAM2013,OLYMPIC DAM,2013,51,38224,38785,77009,0,0,0,38224,38785,77009
OLYMPIC DAM2014,OLYMPIC DAM,2014,51,38495,38084,76579,0,0,0,38495,38084,76579
OLYMPIC DAM2015,OLYMPIC DAM,2015,52,31717,32163,63880,0,0,0,31717,32163,63880
OLYMPIC DAM2016,OLYMPIC DAM,2016,61,25606,25483,51089,0,0,0,25606,25483,51089
ORANGE1985,ORANGE,1985,-,13092,12687,25779,0,0,0,13092,12687,25779
ORANGE1986,ORANGE,1986,-,13415,11323,24738,0,0,0,13415,11323,24738
ORANGE1987,ORANGE,1987,-,13982,13993,27975,0,0,0,13982,13993,27975
ORANGE1988,ORANGE,1988,-,13528,13735,27263,0,0,0,13528,13735,27263
ORANGE1989,ORANGE,1989,-,11216,11308,22524,0,0,0,11216,11308,22524
ORANGE1990,ORANGE,1990,-,14210,14470,28680,0,0,0,14210,14470,28680
ORANGE1991,ORANGE,1991,-,11243,11900,23143,0,0,0,11243,11900,23143
ORANGE1992,ORANGE,1992,-,13812,14128,27940,0,0,0,13812,14128,27940
ORANGE1993,ORANGE,1993,-,14698,14126,28824,0,0,0,14698,14126,28824
ORANGE1994,ORANGE,1994,-,16798,16399,33197,0,0,0,16798,16399,33197
ORANGE1995,ORANGE,1995,-,16947,17076,34023,0,0,0,16947,17076,34023
ORANGE1996,ORANGE,1996,-,18160,18404,36564,0,0,0,18160,18404,36564
ORANGE1997,ORANGE,1997,-,21856,22087,43943,0,0,0,21856,22087,43943
ORANGE1998,ORANGE,1998,-,23808,23733,47541,0,0,0,23808,23733,47541
ORANGE1999,ORANGE,1999,-,23458,23963,47421,0,0,0,23458,23963,47421
ORANGE2000,ORANGE,2000,46,25047,25534,50581,0,0,0,25047,25534,50581
ORANGE2001,ORANGE,2001,-,21773,22115,43888,0,0,0,21773,22115,43888
ORANGE2002,ORANGE,2002,-,19290,19536,38826,0,0,0,19290,19536,38826
ORANGE2003,ORANGE,2003,-,20387,20752,41139,0,0,0,20387,20752,41139
ORANGE2004,ORANGE,2004,48,28013,28157,56170,0,0,0,28013,28157,56170
ORANGE2005,ORANGE,2005,52,27902,28229,56131,0,0,0,27902,28229,56131
ORANGE2006,ORANGE,2006,54,28503,28975,57478,0,0,0,28503,28975,57478
ORANGE2007,ORANGE,2007,56,29841,29917,59758,0,0,0,29841,29917,59758
ORANGE2008,ORANGE,2008,58,29241,28970,58211,0,0,0,29241,28970,58211
ORANGE2009,ORANGE,2009,58,26258,26270,52528,0,0,0,26258,26270,52528
ORANGE2010,ORANGE,2010,54,28501,28435,56936,0,0,0,28501,28435,56936
ORANGE2011,ORANGE,2011,57,30811,31132,61943,0,0,0,30811,31132,61943
ORANGE2012,ORANGE,2012,57,29808,29853,59661,0,0,0,29808,29853,59661
ORANGE2013,ORANGE,2013,58,29199,29005,58204,0,0,0,29199,29005,58204
ORANGE2014,ORANGE,2014,-,24609,24661,49270,0,0,0,24609,24661,49270
ORANGE2015,ORANGE,2015,-,24214,24365,48579,0,0,0,24214,24365,48579
ORANGE2016,ORANGE,2016,60,26065,26084,52149,0,0,0,26065,26084,52149
PALM ISLAND1985,PALM ISLAND,1985,-,9239,8416,17655,0,0,0,9239,8416,17655
PALM ISLAND1986,PALM ISLAND,1986,-,7500,7686,15186,0,0,0,7500,7686,15186
PALM ISLAND1987,PALM ISLAND,1987,-,5360,5710,11070,0,0,0,5360,5710,11070
PALM ISLAND1988,PALM ISLAND,1988,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1989,PALM ISLAND,1989,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1990,PALM ISLAND,1990,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1991,PALM ISLAND,1991,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1992,PALM ISLAND,1992,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1993,PALM ISLAND,1993,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1994,PALM ISLAND,1994,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1995,PALM ISLAND,1995,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1996,PALM ISLAND,1996,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1997,PALM ISLAND,1997,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1998,PALM ISLAND,1998,-,0,0,0,0,0,0,0,0,0
PALM ISLAND1999,PALM ISLAND,1999,-,0,0,0,0,0,0,0,0,0
PALM ISLAND2000,PALM ISLAND,2000,-,0,0,0,0,0,0,0,0,0
PALM ISLAND2001,PALM ISLAND,2001,-,0,0,0,0,0,0,0,0,0
PALM ISLAND2002,PALM ISLAND,2002,-,3587,3588,7175,0,0,0,3587,3588,7175
PALM ISLAND2003,PALM ISLAND,2003,-,11930,11938,23868,0,0,0,11930,11938,23868
PALM ISLAND2004,PALM ISLAND,2004,-,13630,13628,27258,0,0,0,13630,13628,27258
PALM ISLAND2005,PALM ISLAND,2005,-,20715,20753,41468,0,0,0,20715,20753,41468
PALM ISLAND2006,PALM ISLAND,2006,-,18675,19016,37691,0,0,0,18675,19016,37691
PALM ISLAND2007,PALM ISLAND,2007,-,14301,14363,28664,0,0,0,14301,14363,28664
PALM ISLAND2008,PALM ISLAND,2008,-,11966,12103,24069,0,0,0,11966,12103,24069
PALM ISLAND2009,PALM ISLAND,2009,-,9599,10230,19829,0,0,0,9599,10230,19829
PALM ISLAND2010,PALM ISLAND,2010,-,11663,12365,24028,0,0,0,11663,12365,24028
PALM ISLAND2011,PALM ISLAND,2011,-,12781,13714,26495,0,0,0,12781,13714,26495
PALM ISLAND2012,PALM ISLAND,2012,-,13441,14393,27834,0,0,0,13441,14393,27834
PALM ISLAND2013,PALM ISLAND,2013,-,12561,13498,26059,0,0,0,12561,13498,26059
PALM ISLAND2014,PALM ISLAND,2014,-,11401,12564,23965,0,0,0,11401,12564,23965
PALM ISLAND2015,PALM ISLAND,2015,-,11356,13010,24366,0,0,0,11356,13010,24366
PALM ISLAND2016,PALM ISLAND,2016,-,11332,13274,24606,0,0,0,11332,13274,24606
PARABURDOO1985,PARABURDOO,1985,-,23909,24298,48207,0,0,0,23909,24298,48207
PARABURDOO1986,PARABURDOO,1986,-,24840,24870,49710,0,0,0,24840,24870,49710
PARABURDOO1987,PARABURDOO,1987,-,22906,23185,46091,0,0,0,22906,23185,46091
PARABURDOO1988,PARABURDOO,1988,43,25560,25348,50908,0,0,0,25560,25348,50908
PARABURDOO1989,PARABURDOO,1989,-,20923,20292,41215,0,0,0,20923,20292,41215
PARABURDOO1990,PARABURDOO,1990,-,23116,22863,45979,0,0,0,23116,22863,45979
PARABURDOO1991,PARABURDOO,1991,-,25025,24814,49839,0,0,0,25025,24814,49839
PARABURDOO1992,PARABURDOO,1992,41,27122,27248,54370,0,0,0,27122,27248,54370
PARABURDOO1993,PARABURDOO,1993,44,27659,27880,55539,0,0,0,27659,27880,55539
PARABURDOO1994,PARABURDOO,1994,46,29584,29505,59089,0,0,0,29584,29505,59089
PARABURDOO1995,PARABURDOO,1995,44,31035,30835,61870,0,0,0,31035,30835,61870
PARABURDOO1996,PARABURDOO,1996,-,21978,21586,43564,0,0,0,21978,21586,43564
PARABURDOO1997,PARABURDOO,1997,-,19577,19643,39220,0,0,0,19577,19643,39220
PARABURDOO1998,PARABURDOO,1998,-,19142,19402,38544,0,0,0,19142,19402,38544
PARABURDOO1999,PARABURDOO,1999,-,18866,18933,37799,0,0,0,18866,18933,37799
PARABURDOO2000,PARABURDOO,2000,-,19244,18948,38192,0,0,0,19244,18948,38192
PARABURDOO2001,PARABURDOO,2001,-,20851,20552,41403,0,0,0,20851,20552,41403
PARABURDOO2002,PARABURDOO,2002,45,26510,26458,52968,0,0,0,26510,26458,52968
PARABURDOO2003,PARABURDOO,2003,42,30676,30307,60983,0,0,0,30676,30307,60983
PARABURDOO2004,PARABURDOO,2004,47,31715,31757,63472,0,0,0,31715,31757,63472
PARABURDOO2005,PARABURDOO,2005,45,39635,39517,79152,0,0,0,39635,39517,79152
PARABURDOO2006,PARABURDOO,2006,40,48244,48171,96415,0,0,0,48244,48171,96415
PARABURDOO2007,PARABURDOO,2007,40,52382,52568,104950,0,0,0,52382,52568,104950
PARABURDOO2008,PARABURDOO,2008,38,64457,65138,129595,0,0,0,64457,65138,129595
PARABURDOO2009,PARABURDOO,2009,37,63608,64087,127695,0,0,0,63608,64087,127695
PARABURDOO2010,PARABURDOO,2010,36,87065,88509,175574,0,0,0,87065,88509,175574
PARABURDOO2011,PARABURDOO,2011,29,123503,123121,246624,0,0,0,123503,123121,246624
PARABURDOO2012,PARABURDOO,2012,26,150516,150667,301183,0,0,0,150516,150667,301183
PARABURDOO2013,PARABURDOO,2013,32,115836,116457,232293,0,0,0,115836,116457,232293
PARABURDOO2014,PARABURDOO,2014,36,96674,96617,193291,0,0,0,96674,96617,193291
PARABURDOO2015,PARABURDOO,2015,37,82829,84284,167113,0,0,0,82829,84284,167113
PARABURDOO2016,PARABURDOO,2016,40,81431,82679,164110,0,0,0,81431,82679,164110
PARKES1985,PARKES,1985,-,4116,4120,8236,0,0,0,4116,4120,8236
PARKES1986,PARKES,1986,-,3650,3652,7302,0,0,0,3650,3652,7302
PARKES1987,PARKES,1987,-,3792,3793,7585,0,0,0,3792,3793,7585
PARKES1988,PARKES,1988,-,3778,3747,7525,0,0,0,3778,3747,7525
PARKES1989,PARKES,1989,-,2842,2781,5623,0,0,0,2842,2781,5623
PARKES1990,PARKES,1990,-,3063,3069,6132,0,0,0,3063,3069,6132
PARKES1991,PARKES,1991,-,3303,3136,6439,0,0,0,3303,3136,6439
PARKES1992,PARKES,1992,-,3393,3630,7023,0,0,0,3393,3630,7023
PARKES1993,PARKES,1993,-,4698,4879,9577,0,0,0,4698,4879,9577
PARKES1994,PARKES,1994,-,6285,6628,12913,0,0,0,6285,6628,12913
PARKES1995,PARKES,1995,-,7719,7617,15336,0,0,0,7719,7617,15336
PARKES1996,PARKES,1996,-,8604,8632,17236,0,0,0,8604,8632,17236
PARKES1997,PARKES,1997,-,7623,7476,15099,0,0,0,7623,7476,15099
PARKES1998,PARKES,1998,-,7717,7701,15418,0,0,0,7717,7701,15418
PARKES1999,PARKES,1999,-,6679,6665,13344,0,0,0,6679,6665,13344
PARKES2000,PARKES,2000,-,6635,6659,13294,0,0,0,6635,6659,13294
PARKES2001,PARKES,2001,-,6143,5924,12067,0,0,0,6143,5924,12067
PARKES2002,PARKES,2002,-,5803,5530,11333,0,0,0,5803,5530,11333
PARKES2003,PARKES,2003,-,6727,6718,13445,0,0,0,6727,6718,13445
PARKES2004,PARKES,2004,-,9591,9555,19146,0,0,0,9591,9555,19146
PARKES2005,PARKES,2005,-,12652,12665,25317,0,0,0,12652,12665,25317
PARKES2006,PARKES,2006,-,15247,15370,30617,0,0,0,15247,15370,30617
PARKES2007,PARKES,2007,-,16712,16616,33328,0,0,0,16712,16616,33328
PARKES2008,PARKES,2008,-,17102,17130,34232,0,0,0,17102,17130,34232
PARKES2009,PARKES,2009,-,14110,14243,28353,0,0,0,14110,14243,28353
PARKES2010,PARKES,2010,-,15731,15931,31662,0,0,0,15731,15931,31662
PARKES2011,PARKES,2011,-,15845,15845,31690,0,0,0,15845,15845,31690
PARKES2012,PARKES,2012,-,15088,15223,30311,0,0,0,15088,15223,30311
PARKES2013,PARKES,2013,-,12886,13219,26105,0,0,0,12886,13219,26105
PARKES2014,PARKES,2014,-,12391,12587,24978,0,0,0,12391,12587,24978
PARKES2015,PARKES,2015,-,13128,13198,26326,0,0,0,13128,13198,26326
PARKES2016,PARKES,2016,-,14137,14085,28222,0,0,0,14137,14085,28222
PERTH1985,PERTH,1985,5,680950,676671,1357621,255255,245627,500882,936205,922298,1858503
PERTH1986,PERTH,1986,5,723991,714521,1438512,292750,273616,566366,1016741,988137,2004878
PERTH1987,PERTH,1987,4,764782,771382,1536164,331653,317546,649199,1096435,1088928,2185363
PERTH1988,PERTH,1988,5,788259,791765,1580024,370072,344039,714111,1158331,1135804,2294135
PERTH1989,PERTH,1989,4,618619,624374,1242993,414425,397329,811754,1033044,1021703,2054747
PERTH1990,PERTH,1990,4,748004,750284,1498288,439326,421490,860816,1187330,1171774,2359104
PERTH1991,PERTH,1991,4,1016847,1025879,2042726,422103,402069,824172,1438950,1427948,2866898
PERTH1992,PERTH,1992,5,1002085,1010394,2012479,456933,440357,897290,1459018,1450751,2909769
PERTH1993,PERTH,1993,4,1097623,1103531,2201154,512975,487894,1000869,1610598,1591425,3202023
PERTH1994,PERTH,1994,4,1262179,1270077,2532256,574545,546501,1121046,1836724,1816578,3653302
PERTH1995,PERTH,1995,4,1384627,1399061,2783688,609320,581517,1190837,1993947,1980578,3974525
PERTH1996,PERTH,1996,4,1526525,1539807,3066332,659886,632241,1292127,2186411,2172048,4358459
PERTH1997,PERTH,1997,4,1565892,1587103,3152995,714035,685479,1399514,2279927,2272582,4552509
PERTH1998,PERTH,1998,4,1611197,1624327,3235524,733584,700493,1434077,2344781,2324820,4669601
PERTH1999,PERTH,1999,4,1614352,1642735,3257087,755114,719784,1474898,2369466,2362519,4731985
PERTH2000,PERTH,2000,4,1728932,1734190,3463122,810998,769624,1580622,2539930,2503814,5043744
PERTH2001,PERTH,2001,4,1662012,1679791,3341803,814035,773344,1587379,2476047,2453135,4929182
PERTH2002,PERTH,2002,4,1668292,1703023,3371315,837755,798667,1636422,2506047,2501690,5007737
PERTH2003,PERTH,2003,4,1934347,1958276,3892623,817616,769006,1586622,2751963,2727282,5479245
PERTH2004,PERTH,2004,4,2216159,2221132,4437291,930693,896696,1827389,3146852,3117828,6264680
PERTH2005,PERTH,2005,4,2375422,2379250,4754672,1022241,984784,2007025,3397663,3364034,6761697
PERTH2006,PERTH,2006,4,2705021,2724849,5429870,1042765,992112,2034877,3747786,3716961,7464747
PERTH2007,PERTH,2007,4,3040097,3065149,6105246,1212943,1160625,2373568,4253040,4225774,8478814
PERTH2008,PERTH,2008,4,3346848,3358332,6705180,1299846,1233176,2533022,4646694,4591508,9238202
PERTH2009,PERTH,2009,4,3415365,3425672,6841037,1411683,1363054,2774737,4827048,4788726,9615774
PERTH2010,PERTH,2010,4,3666157,3653696,7319853,1579445,1554264,3133709,5245602,5207960,10453562
PERTH2011,PERTH,2011,4,4012703,4003329,8016032,1696939,1652529,3349468,5709642,5655858,11365500
PERTH2012,PERTH,2012,4,4500495,4499076,8999571,1831576,1787192,3618768,6332071,6286268,12618339
PERTH2013,PERTH,2013,4,4487326,4494546,8981872,1981237,1938603,3919840,6468563,6433149,12901712
PERTH2014,PERTH,2014,4,4367566,4390953,8758519,2116598,2063809,4180407,6484164,6454762,12938926
PERTH2015,PERTH,2015,4,4200070,4201462,8401532,2116736,2076097,4192833,6316806,6277559,12594365
PERTH2016,PERTH,2016,4,4047928,4077145,8125073,2214255,2164920,4379175,6262183,6242065,12504248
PORT HEDLAND1985,PORT HEDLAND,1985,20,84735,86291,171026,1967,2123,4090,86702,88414,175116
PORT HEDLAND1986,PORT HEDLAND,1986,20,85822,87165,172987,2133,2028,4161,87955,89193,177148
PORT HEDLAND1987,PORT HEDLAND,1987,20,80857,81533,162390,2546,2569,5115,83403,84102,167505
PORT HEDLAND1988,PORT HEDLAND,1988,21,74245,75062,149307,2952,2947,5899,77197,78009,155206
PORT HEDLAND1989,PORT HEDLAND,1989,20,52927,52758,105685,2240,2526,4766,55167,55284,110451
PORT HEDLAND1990,PORT HEDLAND,1990,19,65280,66572,131852,2325,2624,4949,67605,69196,136801
PORT HEDLAND1991,PORT HEDLAND,1991,19,63553,64935,128488,2306,2668,4974,65859,67603,133462
PORT HEDLAND1992,PORT HEDLAND,1992,20,60699,62895,123594,2583,2593,5176,63282,65488,128770
PORT HEDLAND1993,PORT HEDLAND,1993,21,67817,68541,136358,2154,2301,4455,69971,70842,140813
PORT HEDLAND1994,PORT HEDLAND,1994,22,74223,75277,149500,1114,1188,2302,75337,76465,151802
PORT HEDLAND1995,PORT HEDLAND,1995,24,73544,73230,146774,541,726,1267,74085,73956,148041
PORT HEDLAND1996,PORT HEDLAND,1996,27,57582,57696,115278,756,780,1536,58338,58476,116814
PORT HEDLAND1997,PORT HEDLAND,1997,27,62068,62396,124464,1531,1678,3209,63599,64074,127673
PORT HEDLAND1998,PORT HEDLAND,1998,28,62355,62845,125200,2252,2146,4398,64607,64991,129598
PORT HEDLAND1999,PORT HEDLAND,1999,35,45658,46145,91803,1493,1476,2969,47151,47621,94772
PORT HEDLAND2000,PORT HEDLAND,2000,40,40361,40671,81032,0,0,0,40361,40671,81032
PORT HEDLAND2001,PORT HEDLAND,2001,37,37777,37772,75549,0,0,0,37777,37772,75549
PORT HEDLAND2002,PORT HEDLAND,2002,37,35997,36080,72077,0,0,0,35997,36080,72077
PORT HEDLAND2003,PORT HEDLAND,2003,35,43025,42920,85945,0,0,0,43025,42920,85945
PORT HEDLAND2004,PORT HEDLAND,2004,35,47929,48276,96205,0,0,0,47929,48276,96205
PORT HEDLAND2005,PORT HEDLAND,2005,33,53925,54364,108289,0,0,0,53925,54364,108289
PORT HEDLAND2006,PORT HEDLAND,2006,34,67810,69471,137281,0,0,0,67810,69471,137281
PORT HEDLAND2007,PORT HEDLAND,2007,31,91014,89315,180329,0,0,0,91014,89315,180329
PORT HEDLAND2008,PORT HEDLAND,2008,29,102684,103428,206112,0,0,0,102684,103428,206112
PORT HEDLAND2009,PORT HEDLAND,2009,25,119438,119068,238506,0,0,0,119438,119068,238506
PORT HEDLAND2010,PORT HEDLAND,2010,21,170408,171957,342365,1386,1653,3039,171794,173610,345404
PORT HEDLAND2011,PORT HEDLAND,2011,21,198751,199776,398527,783,703,1486,199534,200479,400013
PORT HEDLAND2012,PORT HEDLAND,2012,19,265667,267496,533163,0,0,0,265667,267496,533163
PORT HEDLAND2013,PORT HEDLAND,2013,20,240554,242987,483541,0,0,0,240554,242987,483541
PORT HEDLAND2014,PORT HEDLAND,2014,19,257604,258743,516347,0,0,0,257604,258743,516347
PORT HEDLAND2015,PORT HEDLAND,2015,21,205870,208669,414539,2492,2821,5313,208362,211490,419852
PORT HEDLAND2016,PORT HEDLAND,2016,23,176390,179113,355503,4297,4224,8521,180687,183337,364024
PORT LINCOLN1985,PORT LINCOLN,1985,26,44632,45501,90133,0,0,0,44632,45501,90133
PORT LINCOLN1986,PORT LINCOLN,1986,31,41247,41847,83094,0,0,0,41247,41847,83094
PORT LINCOLN1987,PORT LINCOLN,1987,36,33946,33769,67715,0,0,0,33946,33769,67715
PORT LINCOLN1988,PORT LINCOLN,1988,36,35364,35266,70630,0,0,0,35364,35266,70630
PORT LINCOLN1989,PORT LINCOLN,1989,27,36898,37557,74455,0,0,0,36898,37557,74455
PORT LINCOLN1990,PORT LINCOLN,1990,33,34643,35267,69910,0,0,0,34643,35267,69910
PORT LINCOLN1991,PORT LINCOLN,1991,32,36175,36620,72795,0,0,0,36175,36620,72795
PORT LINCOLN1992,PORT LINCOLN,1992,33,38686,39217,77903,0,0,0,38686,39217,77903
PORT LINCOLN1993,PORT LINCOLN,1993,31,42306,42487,84793,0,0,0,42306,42487,84793
PORT LINCOLN1994,PORT LINCOLN,1994,34,43394,43942,87336,0,0,0,43394,43942,87336
PORT LINCOLN1995,PORT LINCOLN,1995,35,43137,43523,86660,0,0,0,43137,43523,86660
PORT LINCOLN1996,PORT LINCOLN,1996,35,46211,46844,93055,0,0,0,46211,46844,93055
PORT LINCOLN1997,PORT LINCOLN,1997,34,47785,48454,96239,0,0,0,47785,48454,96239
PORT LINCOLN1998,PORT LINCOLN,1998,35,48525,49270,97795,0,0,0,48525,49270,97795
PORT LINCOLN1999,PORT LINCOLN,1999,34,49880,50720,100600,0,0,0,49880,50720,100600
PORT LINCOLN2000,PORT LINCOLN,2000,32,50034,50432,100466,0,0,0,50034,50432,100466
PORT LINCOLN2001,PORT LINCOLN,2001,32,46175,46652,92827,0,0,0,46175,46652,92827
PORT LINCOLN2002,PORT LINCOLN,2002,31,45540,45495,91035,0,0,0,45540,45495,91035
PORT LINCOLN2003,PORT LINCOLN,2003,30,49740,50318,100058,0,0,0,49740,50318,100058
PORT LINCOLN2004,PORT LINCOLN,2004,31,60815,61912,122727,0,0,0,60815,61912,122727
PORT LINCOLN2005,PORT LINCOLN,2005,31,65235,66383,131618,0,0,0,65235,66383,131618
PORT LINCOLN2006,PORT LINCOLN,2006,32,71292,72563,143855,0,0,0,71292,72563,143855
PORT LINCOLN2007,PORT LINCOLN,2007,34,70934,71976,142910,0,0,0,70934,71976,142910
PORT LINCOLN2008,PORT LINCOLN,2008,36,74570,75256,149826,0,0,0,74570,75256,149826
PORT LINCOLN2009,PORT LINCOLN,2009,36,74294,75199,149493,0,0,0,74294,75199,149493
PORT LINCOLN2010,PORT LINCOLN,2010,34,95574,96471,192045,0,0,0,95574,96471,192045
PORT LINCOLN2011,PORT LINCOLN,2011,35,98160,99334,197494,0,0,0,98160,99334,197494
PORT LINCOLN2012,PORT LINCOLN,2012,36,97307,98632,195939,0,0,0,97307,98632,195939
PORT LINCOLN2013,PORT LINCOLN,2013,37,94494,95121,189615,0,0,0,94494,95121,189615
PORT LINCOLN2014,PORT LINCOLN,2014,38,95081,95734,190815,0,0,0,95081,95734,190815
PORT LINCOLN2015,PORT LINCOLN,2015,36,92434,93358,185792,0,0,0,92434,93358,185792
PORT LINCOLN2016,PORT LINCOLN,2016,36,89337,89510,178847,0,0,0,89337,89510,178847
PORT MACQUARIE1985,PORT MACQUARIE,1985,38,35646,35321,70967,0,0,0,35646,35321,70967
PORT MACQUARIE1986,PORT MACQUARIE,1986,36,38544,38018,76562,0,0,0,38544,38018,76562
PORT MACQUARIE1987,PORT MACQUARIE,1987,29,44369,43136,87505,0,0,0,44369,43136,87505
PORT MACQUARIE1988,PORT MACQUARIE,1988,39,32316,31403,63719,0,0,0,32316,31403,63719
PORT MACQUARIE1989,PORT MACQUARIE,1989,-,21239,20566,41805,0,0,0,21239,20566,41805
PORT MACQUARIE1990,PORT MACQUARIE,1990,-,23678,21581,45259,0,0,0,23678,21581,45259
PORT MACQUARIE1991,PORT MACQUARIE,1991,-,23711,23864,47575,0,0,0,23711,23864,47575
PORT MACQUARIE1992,PORT MACQUARIE,1992,-,24818,24991,49809,0,0,0,24818,24991,49809
PORT MACQUARIE1993,PORT MACQUARIE,1993,36,37037,36242,73279,0,0,0,37037,36242,73279
PORT MACQUARIE1994,PORT MACQUARIE,1994,38,38714,38891,77605,0,0,0,38714,38891,77605
PORT MACQUARIE1995,PORT MACQUARIE,1995,38,38372,38187,76559,0,0,0,38372,38187,76559
PORT MACQUARIE1996,PORT MACQUARIE,1996,39,37644,38163,75807,0,0,0,37644,38163,75807
PORT MACQUARIE1997,PORT MACQUARIE,1997,40,37227,37354,74581,0,0,0,37227,37354,74581
PORT MACQUARIE1998,PORT MACQUARIE,1998,40,36890,36969,73859,0,0,0,36890,36969,73859
PORT MACQUARIE1999,PORT MACQUARIE,1999,39,38374,38541,76915,0,0,0,38374,38541,76915
PORT MACQUARIE2000,PORT MACQUARIE,2000,36,43140,42884,86024,0,0,0,43140,42884,86024
